Exercise Name,MainMuscleGroup,DetailedMuscleGroup,OtherMuscleGroups,Type,Mechanics,Equipment,Difficulty,InstructionText,PIC_NO,Link
Dumbbell One Arm Row,Biceps,Hamstrings,"Glutes , Upper Legs",Strength,Isolation,Dumbbell,Intermediate,"The dumbbell bicep curl with stork stance is an advanced exercise that requires excellent coordination and balance to target and isolate the bicep muscle.
_x000D_
Steps : 
_x000D_
1.) Start off grabbing a pair of dumbbells in each hand, palms facing up.
_x000D_
2.) Standing on one foot, extend your other foot back (see illustration) and extend your arms down so they are handing in front of your leg.
_x000D_
3.) While on one foot, curl your arms up contracting your biceps, squeezing the muscle as much as possible.
_x000D_
4.) Return to the starting position and switch legs.
_x000D_
5.) Repeat for as many reps and sets as desired.","['1160', '1161']",https://www.jefit.com/exercises/90/Dumbbell-One-Arm-Row
Smith Machine Bent Over Row,Back,Traps,Biceps,Strength,Compound,Machine,Beginner,"The smith machine bent over row exercise works on improve your posture and strengthening your upper back.
_x000D_
Steps : 
_x000D_
1.) Start off standing up straight with your feet shoulder-width apart, keeping your knees slightly bent and good posture and then lean forward with your upper body until your chest is parallel to the floor.
_x000D_
2.) Grab onto the bar with a wide overhand grip, making sure that you keep your chest still and pull the bar up until it is almost touching your chest.
_x000D_
3.) Hold this position for a count, squeezing your back muscles, then return back to the starting position in a controlled manner.
_x000D_
Tips : 
_x000D_
1.) You don't have to use a lot of weight for this exercise to be challenging.
_x000D_
2.) Maintain good form for this exercise so that you don't sustain an injury.","['364', '365']",https://www.jefit.com/exercises/91/Smith-Machine-Bent-Over-Row
Hyperextensions   Back Extensions,Back,Lower Back,,Stretching,Compound,Machine,Beginner,"This back hyper-extension exercise gives strength to the back and core muscles as well as increases flexibility.
_x000D_
Steps :
_x000D_
1.) Start off by adjusting the hyper-extension bench so that your ankles are tucked under the footpads and thighs are across the top pad as this will be your starting position.
_x000D_
2.) Keeping your arms folded across your chest and your back straight, slowly bend at your waist towards the ground until you feel a stretch in your core and lower back.
_x000D_
3.) Hold for a count and then slowly return back to the starting position.
_x000D_
Tips : 
_x000D_
1.) Refrain from arching your back during this exercise.","['368', '369']",https://www.jefit.com/exercises/92/Hyperextensions---Back-Extensions
Barbell Deadlift,Upper Legs,Hamstrings,Lower Legs,Strength,Compound,Body,Beginner,Targeted Muscle Group,"['3568', '3569', '3570']",https://www.jefit.com/exercises/93/Barbell-Deadlift
Superman,Back,Lower Back,,Stretching,Compound,Body,Beginner,"The superman exercise is great for the lower stretching and strengthening back and core muscles.
_x000D_
Steps : 
_x000D_
1.) Start off lying flat on your stomach with your arms stretched out in front of you.
_x000D_
2.) Slowly raise your arms and legs up off of the floor and hold onto this position for a few seconds until you feel a tight stretch in your core and back muscles.
_x000D_
3.) Return back to the starting position.","['376', '377']",https://www.jefit.com/exercises/94/Superman
EZ Bar Curl,Biceps,,,Strength,Isolation,EZ,Beginner,"The EZ-Bar Curl exercise uses either an EZ-bar or curl bar to help isolate the biceps and build bigger arms.
_x000D_
Steps : 
_x000D_
1.) Start off standing up straight with your feet shoulder-width apart and your knees slightly bend.
_x000D_
2.) Grab onto the barbell in front of you with an underhand (palms up) grip and lower the bar until it is up against your thighs as this will be your starting position.
_x000D_
3.) Making sure that you keep your elbows still, raise the bar slowly up towards your chest until your forearms touch your biceps, feel a stretch and squeeze in those muscles.
_x000D_
4.) Hold for a count then return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.
_x000D_
Tips : 
_x000D_
1.) You can lean up against a wall or a post to prevent yourself from swaying thus making the exercise ineffective.","['380', '381']",https://www.jefit.com/exercises/95/EZ-Bar-Curl
Cable Overhead Curl,Shoulders,Traps,Triceps,Strength,Compound,Barbell,Beginner,"Steps : 
_x000D_
1.) To begin this exercise; start off by taking a weighted barbell and have it pressed up against your chest with your palms facing outward.
_x000D_
2.) With the barbell in position, lift it above your head with locked arms and hold for a few seconds squeezing your back and shoulders tightly.
_x000D_
3.) Return back to the starting position.
_x000D_
4.) Repeat this exercise for as many repetitions as needed.","['1812', '1813']",https://www.jefit.com/exercises/96/Cable-Overhead-Curl
Barbell Curls Lying Against An Incline,Upper Legs,Hamstrings,,Stretching,,Body,Intermediate,"Steps : 
_x000D_
1.) To begin this exercise; start off in a kneeling pushing position and lift your right leg off of the floor and hold onto it with your right hand.
_x000D_
2.) With your hand hold onto your ankle and stretch out your upper legs holding on for up to 15 seconds, then alternate.
_x000D_
3.) Repeat this exercise for as many repetitions as needed","['1856', '1857']",https://www.jefit.com/exercises/97/Barbell-Curls-Lying-Against-An-Incline
Dumbbell Cross Body Hammer Curl,Lower Legs,Calves,,Strength,Isolation,Machine,Beginner,"The calf press on a leg press exercise uses a leg press machine to help work and strengthen your calf muscles.
_x000D_
Steps : 
_x000D_
1.) Sit down on a Leg Press Machine and press the plate up as if you were performing a leg press.
_x000D_
2.) Slide your feet down so that the balls of your feet are pressing against the rack (with your heels hanging free),
_x000D_
3.) Keeping the handles locked, press up and flex your toes and then slowly bring your toes back towards your body (dorsiflex).
_x000D_
4.) Perform these movements slowly for maximum benefit.
_x000D_
Tips : 
_x000D_
1.) Use lighter weight on this exercise than you are able to lift with a leg press until you are familiar with the movements.","['560', '561']",https://www.jefit.com/exercises/98/Dumbbell-Cross-Body-Hammer-Curl
Barbell Close Grip Standing Curl,Triceps,Lower Chest,,Strength,Isolation,"Barbell , Bench",Intermediate,"Steps :
_x000D_
1.) Lie down on a bench with your head at one end.
_x000D_
2.) Grasp a barbell with an underhand grip.
_x000D_
3.) Move your arms beyond your head and keep them in a straight line.
_x000D_
4.) Bending only your elbows, slowly lower and raise the barbell.","['220', '221']",https://www.jefit.com/exercises/99/Barbell-Close-Grip-Standing-Curl
Dumbbell Bicep Curl,Triceps,,,Strength,Isolation,Machine,Beginner,"Steps :
_x000D_
1.) Start off by setting up a low pulley cable machine with either a long rope or two single grip handles then grasping either the rope or handles with a neutral grip, and taking a few steps back from the machine.
_x000D_
2.) Slowly bend at your knees and lower your body towards the floor so that your back is parallel to the floor and elbows are tucked in at your sides.
_x000D_
3.) Then extend your arms far back as possible, squeezing your triceps, and hold for a count.
_x000D_
4.) Return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['4768', '4769']",https://www.jefit.com/exercises/100/Dumbbell-Bicep-Curl
Dumbbell Seated Curl,Biceps,,Forearm,Strength,Isolation,"Dumbbell , Bench",Beginner,"The dumbbell lying supine biceps curl machine exercise is an advance exercise where you lie down to isolate and target the bicep muscles
_x000D_
Steps : 
_x000D_
1.) Start off lying on a flat bench with your head at one end and your feet planted firmly on the floor at the other end.
_x000D_
2.) Grabbing a dumbbell in each hand, palms facing in, bring your arms down to your sides, hanging off the bench.
_x000D_
3.) Slowly raise your arms up until they are level with your chest, then curl the dumbbells twisting your palms so your forearms touch your biceps.
_x000D_
4.) Hold this position for a count, isolating the bicep muscle and squeezing.
_x000D_
5.) Slowly lower your arms to the starting position.
_x000D_
6.) Repeat for as many reps and sets as desired.","['1088', '1089']",https://www.jefit.com/exercises/101/Dumbbell-Seated-Curl
Cable Standing Biceps Curl,Shoulders,,,Strength,Compound,Machine,Beginner,"Steps :
_x000D_
1.) Start off placing an extension band around a post or in a secure position where it will not release and is at elbow level.
_x000D_
2.) Position yourself to the side of the band and with your hand that is opposite of the band, reach out and grab the handle.
_x000D_
3.) Bring the band to your chest keeping your elbow bent in a 90 degree angle then slowly rotate your arm in a backhand motion so that the band externally rotates out.
_x000D_
4.) Continue out as far as possible so that you feel a stretch in your shoulders, hold for a count and then return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['3492', '3493']",https://www.jefit.com/exercises/102/Cable-Standing-Biceps-Curl
Dumbbell Standing One Arm  Curl Over Incline Bench,Shoulders,,,Strength,Isolation,"Dumbbell , Exercise Ball",Intermediate,"Steps :
_x000D_
1.) Start off by sitting on an exercise ball straight up, gripping a dumbbell in one hand and keeping it parallel to your head.
_x000D_
2.) Slowly press the weight upward until the elbow is next to your ear and hold for a count.
_x000D_
3.) Return back to the starting position and repeat for as many reps and sets as desired.","['3072', '3073']",https://www.jefit.com/exercises/103/Dumbbell-Standing-One-Arm--Curl-Over-Incline-Bench
Cable Reverse Curl,Chest,Full,"Shoulders , Triceps",Strength,Compound,"Barbell , Machine - Strength",Beginner,"The barbell wide grip bench press exercise is a great exercise for the pectoral muscles and uses a wider grip to focus upon the outer portion of the chest.
_x000D_
Steps : 
_x000D_
1.) Lie flat on a bench with your feet flat on the floor.
_x000D_
1.) Start off lying with your back flat on a bench with your feet flat on the floor in front of you and grabbing onto the barbell with a wider than shoulder-width grip as this will be your starting position.
_x000D_
2.) Lift the bar up and off of the rack, bring it over your chest and slowly lower it until it is just above your body and you feel a stretch in your chest muscles.
_x000D_
3.) Hold for a count then extend your arms upward and raise the bar straight up over your chest.
_x000D_
4.) Repeat for as many reps and sets as desired.
_x000D_
Tips : 
_x000D_
1.) Keep your abs drawn in and your back flat on the bench throughout this exercise.
_x000D_
2.) Refrain from bouncing the barbell off of your chest as this is improper form and can lead to injury.","['704', '705']",https://www.jefit.com/exercises/104/Cable-Reverse-Curl
Barbell Spider Curl,Back,Upper Back,"Lower Legs , Upper Legs",Strength,Compound,Barbell,Intermediate,"The barbell deadlift is a classic bodybuilding exercise meant for putting on mass and building strength overall throughout the entire body.
_x000D_
Steps : 
_x000D_
1.) Start off standing in front of a barbell with your feet shoulder-width apart.  
_x000D_
2.) Pick up the barbell while keeping your arms extended straight down.  
_x000D_
3.) Stand up straight with the barbell in your hands, and refrain from moving your arms.  
_x000D_
4.) Bend back down at the knees with barbell.  
_x000D_
5.) Repeat for the desired amount of reps.","['372', '373']",https://www.jefit.com/exercises/105/Barbell-Spider-Curl
Dumbbell Incline Curl,Back,Lats,"Abs , Upper Legs",Stretching,,Body,Intermediate,"Steps :
_x000D_
1.) Start off standing up straight with your feet shoulder width apart and arms at your side.
_x000D_
2.) Slowly perform a rear lunge stepping back with one foot, flexing at your front knee and bending at the hips.
_x000D_
3.) While performing this motion, rotate your body and arms across the front leg that is bent.
_x000D_
4.) Hold this position for 5 to 10 seconds then return back to the starting position.
_x000D_
5.) Repeat this motion to the opposite side and the other leg for as many reps and time limit as you desire.","['3248', '3249']",https://www.jefit.com/exercises/106/Dumbbell-Incline-Curl
Dumbbell Concentration Curls,Shoulders,Full,,Strength,Isolation,Machine,Beginner,"Steps : 
_x000D_
1.) To begin this exercise; start off with your shoulders underneath the shoulder pads on the machine keeping your body straight and arms at your sides.
_x000D_
2.) Push up with your shoulders so that the machine pads are parallel with your ears and hold for a few seconds.
_x000D_
3.) Return back to the starting position.
_x000D_
4.) Repeat this exercise for as many repetitions as needed","['1612', '1613']",https://www.jefit.com/exercises/107/Dumbbell-Concentration-Curls
Dumbbell Hammer Curls,Abs,,"Back , Shoulders",Strength,Compound,Body,Beginner,"Steps :
_x000D_
1.) Start off by laying face down on the floor in a prone position with your arms at your sides.
_x000D_
2.) Squeeze your glutes and lift your chest off of the floor with your arms behind you and thumbs pointed towards the ceiling.
_x000D_
3.) While in the elevated position, pause and hold for a few moments then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets desired.","['2500', '2501']",https://www.jefit.com/exercises/108/Dumbbell-Hammer-Curls
Dumbbell One Arm Preacher Curl,Biceps,,Abs,Strength,Isolation,"Dumbbell , Exercise Ball",Beginner,"Steps : 
_x000D_
1.)Begin by sitting on an exercise ball, holding a dumbbell in each hand and keeping both feet flat on the floor.
_x000D_
2.) Slowly lift one dumbbell towards your shoulder, making sure to isolate the bicep and squeeze your muscle.
_x000D_
3.) Stop at chest level and then return back to the starting position, repeating with the opposite arm, and then alternating between the two.","['2424', '2425']",https://www.jefit.com/exercises/109/Dumbbell-One-Arm-Preacher-Curl
Barbell Reverse Preacher Curls,Shoulders,Traps,"Shoulders , Triceps",Strength,Compound,Bands,Beginner,"The band upright row exercise is a great alternative to the upright row that uses dumbbells or barbells and is great for beginners or individuals just rehabilitating from injury as the bands allow you to control the resistance level.
_x000D_
Steps : 
_x000D_
1.) Stand on the band so that the handles are level with your upper thigh.
_x000D_
2.) With your back straight and abs drawn in raise your hands upward to your collarbone.
_x000D_
3.) Your elbows and arms should be parallel with the floor.
_x000D_
4.) Slowly lower your arms and return to starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['740', '741']",https://www.jefit.com/exercises/110/Barbell-Reverse-Preacher-Curls
Barbell Reverse Curl,Lower Legs,Calves,,Strength,Isolation,Bands,Beginner,"The band calf raise exercise uses a band to create resistance in the calf muscle
_x000D_
Steps : 
_x000D_
1.) Start off standing up straight with your toes on an exercise band and raise the handles up to your shoulders.
_x000D_
2.) Raise up on your toes, keeping your hands up by your shoulders, feeling a stretch in your calf muscles.
_x000D_
3.) Pause for a moment and then lower your heel to the floor.
_x000D_
4.) Repeat for as many reps and sets as desired.","['1148', '1149']",https://www.jefit.com/exercises/111/Barbell-Reverse-Curl
Barbell Curl,Upper Legs,Hamstrings,,Stretching,,Body,Beginner,"Steps : 
_x000D_
1.) To begin this exercise; start off lying flat on your back with one leg extended out and with your other leg bend it and grab the knee with your hands.
_x000D_
2.) Take the leg that is being bent and extend it straight into the air and hold onto the position for up to 15 seconds and then alternate legs.
_x000D_
3.) Repeat this exercise for as many repetitions as needed","['1860', '1861']",https://www.jefit.com/exercises/112/Barbell-Curl
Barbell Preacher Curl,Lower Legs,,,Stretching,Isolation,Body,Beginner,"The ankle circles exercise is the most simple workout for the calves to loosen the joints and strengthen and improve flexibility within the muscle.
_x000D_
Steps :
_x000D_
1.) Start off standing on one foot near a chair or wall for support.
_x000D_
2.) Lift your foot off the ground and draw circles clockwise in the air with your toes.
_x000D_
3.) Reverse the direction (counter-clockwise) and switch feet.","['1156', '1157']",https://www.jefit.com/exercises/113/Barbell-Preacher-Curl
Dumbbell Alternate Hammer Curl,Biceps,,,Strength,Isolation,"Machine - Strength , Bench",Beginner,"Steps :
_x000D_
1.) Start off by setting up handles on two upper pulley cables machines and placing a vertical bench in between both machines.
_x000D_
2.) Grab each handle with an overhand grip and sit down on the middle of the bench keeping your arms extended out towards your sides.
_x000D_
3.) Slowly curl the cables in towards your head, isolating the bicep, and squeeze.
_x000D_
4.) Hold for a count then return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['5108', '5109']",https://www.jefit.com/exercises/114/Dumbbell-Alternate-Hammer-Curl
Dumbbell Alternate Incline Curl,Back,Traps,"Biceps , Shoulders",Strength,Isolation,Machine,Beginner,"Targeting the large muscles in your back, the cable seated rows are an effective and beneficial back exercise.
_x000D_
Steps : 
_x000D_
1.) Start off sitting at a low pulley machine with your feet rested against the footrests or floor in front of you and keeping your feet slightly bent.
_x000D_
2.) Keeping your abs tight and your back straight, sit in an upright position.
_x000D_
3.) Slightly lean forward and grab onto the pulleys
_x000D_
4.) Once you have a grip on the pulleys, keep your elbows at your chest and slowly bring them back.
_x000D_
5.) Pause at the top of the exercise and squeeze your back muscles.
_x000D_
6.) Hold for a count then return back to the starting position.
_x000D_
Tips :
_x000D_
1.) It is important to keep  your back upright throughout the entire exercise.","['84', '85']",https://www.jefit.com/exercises/115/Dumbbell-Alternate-Incline-Curl
Dumbbell Alternate Bicep Curl,Biceps,,,Strength,Isolation,"Machine - Strength , Bench",Beginner,"Steps :
_x000D_
1.) Start off setting up a handle on a low cable pulley machine and then placing a flat bench in front of the machine.
_x000D_
2.) Sit down and grasp the handle with one hand, holding it in a concentration curl position.
_x000D_
3.) Slowly curl the cable up towards your shoulder, isolating the bicep, until you feel a stretch and tension in your muscle.
_x000D_
4.) Hold for a count then return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['5340', '5341']",https://www.jefit.com/exercises/116/Dumbbell-Alternate-Bicep-Curl
Barbell Behind The Back Wrist Curl,Glutes,,"Abs , Upper Legs",Strength,Compound,Exercise,Intermediate,"Steps : 
_x000D_
1.) Start off by laying flat on your back with both feet on an exercise ball, keeping your arms flat on the floor by your side.
_x000D_
2.) Bend your your knees and curl your heels toward your glutes, then kick up one leg diagonally.
_x000D_
3.) Hold this position for a few seconds then return back to the starting position.
_x000D_
4.) Repeat with the opposite leg for as many reps and sets as desired.","['2552', '2553']",https://www.jefit.com/exercises/117/Barbell-Behind-The-Back-Wrist-Curl
Dumbbell Palms Up Wrist Curl Over A Bench,Biceps,,,Strength,Isolation,"Bench , Dumbbell",Beginner,"Steps :
_x000D_
1.) Start off setting up an incline bench to either a 30 or 45 degree angle and then position yourself behind the bench, with a dumbbell in one hand rested over the bench and knees bent on the floor.
_x000D_
2.) Hold the dumbbell in an underhand grip with your palms facing up, then slowly lift the dumbbell up towards your shoulder, isolating the bicep and hold for a count.
_x000D_
3.) Return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['424', '425']",https://www.jefit.com/exercises/118/Dumbbell-Palms-Up-Wrist-Curl-Over-A-Bench
Barbell Seated Palms Up Wrist Curl,Biceps,,"Upper Legs , Lower Legs",Strength,Isolation,Barbell,Intermediate,"This is an advanced exercise. This exercise combines a bicep curl with a deadlift.
_x000D_
Steps : 
_x000D_
1.) Grasp an EZ Curl or barbell with a close underhand (palms facing up) grip .
_x000D_
2.) Standing with your feet shoulder width apart and your knees slightly bent, draw your abs in.
_x000D_
3.) Extend your arms so the bar rests in front of your thighs.
_x000D_
4.) Bending at the waist, bring the bar down to just above the floor.
_x000D_
5.) As you return to a standing position, bring the bar up and curl your arms bringing your forearms to your biceps.
_x000D_
6.) Return the starting position and repeat.
_x000D_
Tips : 
_x000D_
1.) Performing this exercise in front of a mirror may help you spot and correct your form.","['1136', '1137']",https://www.jefit.com/exercises/119/Barbell-Seated-Palms-Up-Wrist-Curl
Dumbbell Seated Palms Down Wrist Curl,Shoulders,,,Strength,Isolation,Dumbbell,Beginner,"Steps :
_x000D_
1.) Start off standing up straight with a dumbbell in one hand with your palm facing inward.
_x000D_
2.) Slowly elevate the dumbbell up and out until it reaches shoulder level.
_x000D_
3.) Hold for a count then return back to the starting position
_x000D_
4.) Repeat for as many reps and sets as desired.","['5312', '5313']",https://www.jefit.com/exercises/121/Dumbbell-Seated-Palms-Down-Wrist-Curl
Cable Wrist Curl,Triceps,,,Strength,Isolation,"Machine - Strength , Bench",Beginner,"The cable lying triceps extension uses cables to isolate and work the tricep muscles.
_x000D_
Steps : 
_x000D_
1.) Start off by placing a flat bench with the end towards a weight stack and attaching a short straight bar to the pulley and lower the pulley to the bottom of the stack.
_x000D_
2.) Lie face up (back flat) on the bench and grasp the bar with a narrow overhand grip.
_x000D_
3.) Starting with your arms extended lower the bar towards the bar towards the stack by bending your elbows.
_x000D_
4.) Slowly extend your arms upright and return to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['904', '905']",https://www.jefit.com/exercises/122/Cable-Wrist-Curl
Dumbbell Palms Down Wrist Curl Over A Bench,Biceps,,,Strength,Isolation,"Dumbbell , Exercise Ball",Intermediate,"Steps :
_x000D_
1.) Begin by sitting on an exercise ball, sitting up straight, feet flat on the floor in front of you and holding dumbbells in each hand to your sides.
_x000D_
2.) Slowly raise both arms towards your shoulders, isolating the bicep, until you feel a tension.
_x000D_
3.) Hold for a count then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['2820', '2821']",https://www.jefit.com/exercises/123/Dumbbell-Palms-Down-Wrist-Curl-Over-A-Bench
Barbell Palms Down Wrist Curl Over A Bench,Abs,Obliques,,Strength,Isolation,Body,Beginner,"Steps : 
_x000D_
1.) Start off lying on the floor with your knees bent, your feet on the floor at around 18 to 24 inches apart, and your arms extended by your side.
_x000D_
2.) Once in the starting position, crunch forward over your torso to the right side and touche your right heel.
_x000D_
3.) Hold this position for a few seconds, squeezing your abs and then return back to the starting position.
_x000D_
4.) Switch to the other side, crunching over your torso on the left side and touching your left heel, squeezing your abs and holding the contraction for a count.
_x000D_
5.) Return back to the starting position and alternate sides for the desired about of reps and sets.","['232', '233']",https://www.jefit.com/exercises/124/Barbell-Palms-Down-Wrist-Curl-Over-A-Bench
Barbell Palms Up Wrist Curl Over A Bench,Abs,,"Glutes , Upper Legs",Strength,Compound,Body,Intermediate,"Steps : 
_x000D_
1.) Start by laying on your back with arms at your sides , keeping one knee bent with your heel on the ground and the other leg pointed straight out in front of you in a 45 degree angle.
_x000D_
2.) Slowly lift your hips off of the ground and squeeze your glutes.
_x000D_
3.) Form a straight line with your body through your shoulders and knees.
_x000D_
4.) Hold onto this position for a few seconds then return back to the starting position.
_x000D_
5.) Alternate legs and repeat.","['2440', '2441']",https://www.jefit.com/exercises/125/Barbell-Palms-Up-Wrist-Curl-Over-A-Bench
Barbell Seated Palms Down Wrist Curl,Back,Lats,,Strength,Compound,Barbell,Intermediate,"Steps : 
_x000D_
1.) Start off by taking a barbell and placing it in a corner or in a place where it can be stabilized, then place a weight at the one end that you will be grabbing.
_x000D_
2.) Slowly bend forward so that you are as close to parallel to the ground as possible, keeping your knees bent and feet planted firmly on the floor.
_x000D_
3.) Grab the bar with one hand on top of the other, just underneath the plates then pull the bar straight up towards your chest, keeping your elbows in, until the weight touches your lower chest and squeeze your back.
_x000D_
4.) Hold for a count then return back to the starting position making sure that the weights do not touch the floor.
_x000D_
5.) Repeat for as many reps and sets as desired.","['3228', '3229']",https://www.jefit.com/exercises/126/Barbell-Seated-Palms-Down-Wrist-Curl
Hack Squat,Upper Legs,Hamstrings,"Lower Legs , Glutes",Strength,Compound,Machine,Beginner,"The hack squat exercise is a variation of the squat workout which uses a machine in place of squat rack and may be preferred by beginners.
_x000D_
Steps : 
_x000D_
1.) Start off lying face up on a hack squat machine with your shoulders up against the pad, placing your feet forward at a slightly less than shoulder-width apart and toes pointed slightly outward as this will be your starting position.
_x000D_
2.) Once in position, release the dock levers, place your hands on the grips, keep your abs tightly drawn in and extend your body so that you are standing upright.
_x000D_
3.) Slowly lower your body down into a squatting position so that your knees are bent and you feel a stretch in your quad and hamstring muscles.
_x000D_
4.) Hold for a count and then return back to the starting position.
_x000D_
5.) Repeat for as many reps and sets as desired.","['508', '509']",https://www.jefit.com/exercises/127/Hack-Squat
Barbell Lunge,Abs,Obliques,,Strength,Isolation,Body,Beginner,"Steps : 
_x000D_
1.) Start off lying on the floor with your knees bent, your feet on the floor at around 18 to 24 inches apart, and your arms extended by your side.
_x000D_
2.) Once in the starting position, crunch forward over your torso to the right side and touche your right heel.
_x000D_
3.) Hold this position for a few seconds, squeezing your abs and then return back to the starting position.
_x000D_
4.) Switch to the other side, crunching over your torso on the left side and touching your left heel, squeezing your abs and holding the contraction for a count.
_x000D_
5.) Return back to the starting position and alternate sides for the desired about of reps and sets.","['232', '233']",https://www.jefit.com/exercises/128/Barbell-Lunge
Lying Machine Squat,Upper Legs,Hamstrings,"Lower Legs , Glutes",Strength,Compound,Machine,Intermediate,"The lying machine squat exercise is similar to the leg press machine exercise that works the same muscles and improves overall strength.
_x000D_
Steps : 
_x000D_
1.) Start off by adjusting the shoulder rack of the machine so that your feet comfortably reach the crosspiece and keeping a slight bend in your knees.
_x000D_
2.) Once in position, press your feet forward and release the safety locks.
_x000D_
3.) Slowly lower the weight towards your body, keeping your abs tightly drawn in and knees moving in the same direction as your feet.
_x000D_
4.) Don't lock your knees or bounce the weight.","['516', '517']",https://www.jefit.com/exercises/129/Lying-Machine-Squat
Leg Extensions,Upper Legs,Quads,,Strength,Isolation,Machine,Beginner,"The leg extension exercise is a staple in weight lifting for building strong legs and overall body strength.
_x000D_
Steps : 
_x000D_
1.) Start off adjusting the seat of the leg extension bench so that your knees have a full range of motion and that the footpad fits over your legs above your ankles.
_x000D_
2.) Grab onto the handles of the machine with your hands, keeping your hips and back up against the bench and then slowly extend your legs until your knees are straight.
_x000D_
3.) Hold this position for a count, then return back to the start.
_x000D_
4.) Repeat for as many reps and sets as desired.
_x000D_
Tips : 
_x000D_
1.) Use controlled movements for this exercise, do not swing the weight up.
_x000D_
2.) Refrain from locking your knees as this can result in injury.","['520', '521']",https://www.jefit.com/exercises/130/Leg-Extensions
Dumbbell Squat,Forearm,,Biceps,Strength,Isolation,"Machine - Strength , Dumbbell",Beginner,"Steps :
_x000D_
1.) Start off sitting on a preacher bench with your upper arms resting upon the padding and holding a dumbbell in one hand with a reverse grip.
_x000D_
2.) Slowly raise the dumbbell up towards your shoulders, squeezing in your forearms and hold for a count.
_x000D_
3.) Return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['4316', '4317']",https://www.jefit.com/exercises/131/Dumbbell-Squat
Leg Press,Upper Legs,Hamstrings,"Lower Legs , Glutes",Strength,Compound,Machine,Beginner,"The leg press exercise is a variation of leg press workouts which targets the external muscles of the legs by placing your feet closely together.
_x000D_
Steps : 
_x000D_
1.) Start off sitting on a leg press machine with your feet on the crosspiece about 6 inces apart with your toes pointed outward.
_x000D_
2.) Once in position, grab the handles on the sides of the machine, release the locks, slowly bend down at your knees and bring the weight as far as possible towards your chest.
_x000D_
3.) Hold for a count and then return back to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.
_x000D_
Tips : 
_x000D_
1.) Do not lock your knees at the top as this can result in injury.","['528', '529']",https://www.jefit.com/exercises/132/Leg-Press
Barbell Step Ups,Upper Legs,Hamstrings,Glutes,Strength,Compound,Barbell,Intermediate,"The barbell hack squat exercise is a variation of the basic squat that focuses more on strengthening and building the quad muscles
_x000D_
Steps : 
_x000D_
1.) Start off by placing a barbell on the floor just behind your legs, standing with your feet shoulder width apart and your toes pointing forward
_x000D_
2.) With your feet firmly placed on the floor reach down and grasp the barbell from behind with and overhand grip.
_x000D_
3.) Lift the barbell by extending your hips and knees, be careful not to lock your knees.
_x000D_
4.) Squat down until your thighs are parallel to the floor and hold the position for a count.
_x000D_
5.) Slowly raise yourself up to starting position.
_x000D_
6.) Repeat for as many reps and sets as desired.","['808', '809']",https://www.jefit.com/exercises/133/Barbell-Step-Ups
Dumbbell Step Ups,Triceps,,,Strength,Isolation,"Dumbbell , Bench",Intermediate,"The dumbbell one arm tricep extension exercise uses a dumbbell to work each arm individually and build bigger triceps.
_x000D_
Steps : 
_x000D_
1.) Start off sitting on a bench with your back straight and your abs drawn in.
_x000D_
2.) Grab a dumbbell in your hand and place it behind your neck with your elbow bent.
_x000D_
3.) Slowly extend your arm straight up over your head and slowly return to the starting position.
_x000D_
4.) Repeat for as many reps and sets as desired.","['920', '921']",https://www.jefit.com/exercises/134/Dumbbell-Step-Ups
Smith Machine Squat,Upper Legs,Hamstrings,"Lower Legs , Glutes",Strength,Compound,Machine,Beginner,"The smith machine squat exercise is a great overall exercise for the lower body and this is the original version of this exercise that allows for better flow of movement.
_x000D_
Steps : 
_x000D_
1.) Start off setting up the height of the barbell up to shoulder height and placing your feet slightly wider than shoulder-width apart keeping your knees and toes pointed outward.
_x000D_
2.) Slowly descend towards the ground by bending at the knees and hips in a squatting motion.
_x000D_
3.) Continue to lower yourself as far as you can without letting your body shift and hold for a count in the downward position.
_x000D_
4.) Return back upright into the starting position and repeat for as many reps and sets as desired.
_x000D_
Tips :
_x000D_
1.) By using either a pad on the bar or a towel, you can help improve your grip and reduce any pains the bar places upon your back.
_x000D_
2.) You can practice this exercise without any weight to allow yourself to become comfortable with the movements.","['540', '541']",https://www.jefit.com/exercises/135/Smith-Machine-Squat
